INFO  - ResultsCollector:23    ResultsCollector:__init__ - Created Results task
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
INFO  - ResultsCollector:28    ResultsCollector:perform - Received results
